package_a;package_b
(Depth, Position: F, 27 year old, Quality: 3, Contract: 1 year 900000, Special situation: None);(Draft pick, rank: 200)
(Prospect, Position: F, 20 year old, Quality: 8, Contract: Unsigned, Special situation: does not want to sign);(Developing, Position: D, 22 year old, Quality: 7, Contract: 2 years 2300000, Special situation: none) + (Draft pick, rank:45)
(Developing, Position: F, 23 year old, Quality: 1, Contract: 1 years 850000, Special situation: none);(Draft pick, rank: 200)
(Developing, Position: F, 23 year old, Quality: 1, Contract: 1 years 850000, Special situation: none);(Fringe player, Position: D, 29 year old, Quality: 3, Contract: 1 years 775000, Special situation: none)
(Prime, Position: F, 29 year old, Quality: 8, Contract: 1 year 4850000, Special situation: none);(Prime, Position: F, 28 year old, Quality: 5, Contract: 2 year 5500000, Special situation: none) + (Draft pick, rank: 25) + (Prospect, Position: D, 19 year old, Quality: 5, Contract: Unsigned, Special situation: none) + (Prospect, Position: D, 22 year old, Quality: 3, Contract: Unsigned, Special situation: none) + (Draft pick, rank: 140)
(Prime, Position: F, 29 year old, Quality: 7, Contract: 1 year 1985000, Special situation: none);(Draft pick, rank: 26)
(Depth, Position: F, 25 year old, Quality: 5, Contract: 1 year 900000, Special situation: None);(Depth, Position: F, 26 year old, Quality: 4, Contract: 1 year 775000, Special situation: None) + (Draft pick, rank: 100)
(Prime, Position: D, 34 year old, Quality: 9, Contract: 1 year 4500000, Special situation: none);(Draft pick, rank: 55) + (Prospect, Position: D, 21 year old, Quality: 6, Contract: 2 years 814000, Special situation: none)
(Prime, Position: D, 30 year old, Quality: 5, Contract: 1 year 2750000, Special situation: none);(Draft pick, rank: 70)
(Prime, Position: D, 30 year old, Quality: 3, Contract: 3 years 1150000, Special situation: none);(Developing, Position: F, 23 year old, Quality: 3, Contract: Unsigned, Special situation: in Russia) + (Draft pick, rank: 200)
(Prime, Position: F, 29 year old, Quality: 6, Contract: 1 year 5700000, Special situation: none);(Draft pick, rank: 50) + (Draft pick, rank: 100)
(Prime, Position: F, 25 year old, Quality: 8, Contract: 3 years 5750000, Special situation: none);(Developing, Position: D, 23 year old, Quality: 7, Contract: 2 years 3850000, Special situation: none)
(Prime, Position: D, 27 year old, Quality: 8, Contract: 6 years 7350000, Special situation: none);(Developing, Position: D, 26 year old, Quality: 5, Contract: 2 years 1250000, Special situation: none) + (Draft pick, rank: 25) + (Draft pick, rank: 50) + (Draft pick, rank: 130)
(Prime, Position: F, 34 year old, Quality: 6, Contract: 1 year 5830000, Special situation: none) + (Prime, Position: F, 32 year old, Quality: 4, Contract: 1 year 850000, Special situation: none) + (Draft pick, rank: 200);(Draft pick, rank: 31) + (Draft pick, rank: 100) + (Draft pick, rank: 130)
(Prime, Position: F, 32 year old, Quality: 6, Contract: 1 year 5000000, Special situation: none);(Draft pick, rank: 85) + (Draft pick, rank: 85)
(Prime, Position: F, 29 year old, Quality: 6, Contract: 1 year 4500000, Special situation: none);(Draft pick, rank: 50) + (Draft pick, rank: 100)
(Prime, Position: D, 29 year old, Quality: 8, Contract: 1 year 2650000, Special situation: none) + (Draft pick, rank: 130);(Draft pick, rank: 25) + (Prime, Position: F, 31 year old, Quality: 4, Contract: 1 year 8000000, Special situation: none)
(Prime, Position: F, 29 year old, Quality: 9, Contract: 1 year 6000000, Special situation: none) + (Developing, Position: D, 24 year old, Quality: 4, Contract: 2 years 775000, Special situation: none);(Prime, Position: F, 28 year old, Quality: 6, Contract: 3 year 4500000, Special situation: none) + (Draft pick, rank: 50) + (Prospect, Position: F, 22 year old, Quality: 6, Contract: 2 years 795000, Special situation: none) + (Prospect, Position: D, 21 year old, Quality: 6, Contract: 2 years 805000, Special situation: none) + (Prospect, Position: F, 20 year old, Quality: 5, Contract: Unsigned, Special situation: none)
(Prospect, Position: D, 23 year old, Quality: 5, Contract: Unsigned, Special situation: none);(Draft pick, rank: 160)
(Prime, Position: F, 27 year old, Quality: 5, Contract: 1 year 4150000, Special situation: none);(Draft pick, rank: 130)
(Prime, Position: F, 27 year old, Quality: 5, Contract: 1 year 1700000, Special situation: none) + (Prospect, Position: D, 20 year old, Quality: 4, Contract: Unsigned, Special situation: none);(Draft pick, rank: 80) + (Prospect, Position: D, 21 year old, Quality: 3, Contract: Unsigned, Special situation: none)
(Prime, Position: F, 27 year old, Quality: 6, Contract: 1 year 1100000, Special situation: none);(Draft pick, rank: 80)
(Prime, Position: D, 30 year old, Quality: 6, Contract: 1 year 1100000, Special situation: none) + (Draft pick, rank: 200);(Draft pick, rank: 110)
(Prime, Position: D, 30 year old, Quality: 5, Contract: 1 year 3500000, Special situation: none);(Draft pick, rank: 80) + (Draft pick, rank: 130)
(Prime, Position: F, 28 year old, Quality: 6.5, Contract: 1 year 3000000, Special situation: none) + (Draft pick, rank: 200);(Draft pick, rank: 80) + (Prospect, Position: D, 22 year old, Quality: 5, Contract: 2 years 828000, Special situation: none)
